               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.022993,           0.0072163,                   0,             0.93908,             0.92494,             0.93904,             0.63205,            0.022351,            0.019571,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022917,           0.0072944,                   0,             0.93782,             0.90496,             0.94571,             0.64759,              0.0229,            0.020625,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.023018,           0.0072083,                   0,             0.93874,             0.91949,             0.94725,             0.63852,            0.022081,            0.020138,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022974,           0.0072763,                   0,             0.91215,               0.935,             0.94339,             0.62812,            0.023305,            0.020985,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.022282,           0.0071374,                   0,             0.90601,               0.965,             0.94666,             0.63748,            0.022171,            0.019767,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.022593,           0.0071015,                   0,             0.94286,                0.91,             0.94597,              0.6332,            0.022785,            0.020542,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.022373,            0.006806,                   0,              0.9233,               0.925,             0.94401,             0.64913,            0.022611,            0.019586,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.022536,           0.0070357,                   0,             0.89187,                0.95,             0.93456,             0.61443,            0.023455,            0.020367,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.022635,           0.0070427,                   0,             0.92106,               0.935,             0.96899,             0.64292,            0.022907,            0.021294,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.023002,           0.0068865,                   0,             0.93069,             0.93993,             0.97106,             0.65526,            0.021932,            0.020374,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.022105,            0.006969,                   0,             0.91747,             0.94492,             0.95377,             0.64037,            0.022395,            0.019892,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,             0.02193,           0.0068035,                   0,             0.95336,               0.925,             0.94862,             0.63807,            0.021793,            0.020002,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.022013,           0.0069672,                   0,             0.94834,                0.92,             0.95518,             0.62845,            0.022929,            0.020339,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.022317,           0.0072311,                   0,             0.91783,                0.95,             0.95194,             0.65168,            0.022225,            0.020014,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.022062,           0.0068915,                   0,             0.92958,               0.925,             0.94264,             0.63516,             0.02286,            0.020669,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.021817,           0.0070767,                   0,             0.93045,              0.8696,             0.92223,             0.61654,            0.022839,            0.022365,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.021502,           0.0068091,                   0,             0.90172,               0.965,             0.94227,             0.63386,            0.022866,             0.02064,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021921,           0.0068916,                   0,              0.9309,               0.945,             0.94675,             0.61665,            0.022827,            0.020278,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.021748,           0.0066493,                   0,             0.93999,             0.93989,             0.94247,             0.64922,            0.021668,            0.020287,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,             0.02185,           0.0068121,                   0,             0.94788,                0.91,             0.94668,             0.62111,            0.022577,            0.020871,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.021723,           0.0069392,                   0,             0.95918,             0.93996,             0.96172,              0.6402,            0.022498,            0.019205,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.021278,           0.0065966,                   0,             0.93398,                0.92,             0.95257,             0.64523,            0.023134,            0.019992,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.020895,           0.0067517,                   0,                0.93,             0.92998,             0.94828,             0.64818,              0.0223,            0.020121,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020955,           0.0065913,                   0,             0.92156,             0.93993,             0.95336,             0.62423,            0.022948,            0.020328,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.021134,           0.0065559,                   0,             0.93811,                0.91,             0.93543,             0.63782,            0.022619,            0.020267,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021197,           0.0068669,                   0,             0.92893,             0.91494,             0.93047,             0.62528,            0.022411,            0.020721,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.020855,           0.0068738,                   0,             0.95279,                0.91,             0.93991,             0.61258,            0.024388,            0.021571,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020621,           0.0067333,                   0,             0.92641,                0.96,             0.97157,             0.63482,            0.022258,            0.019863,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.021496,           0.0070211,                   0,             0.91261,              0.9399,             0.96384,              0.6379,            0.022937,            0.020515,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020864,           0.0065436,                   0,             0.93506,                0.94,             0.95017,              0.6153,            0.023381,            0.020604,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.020899,           0.0065825,                   0,             0.92462,             0.91994,             0.95614,             0.63719,            0.022572,            0.020656,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020671,           0.0063192,                   0,             0.91655,               0.935,             0.94402,             0.64189,            0.022303,            0.020716,                   0,            0.003862,            0.003862,            0.003862
                 126,             0.01988,           0.0064683,                   0,             0.90384,             0.93995,             0.94845,             0.64703,            0.022092,            0.019696,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.020663,            0.006714,                   0,               0.943,             0.90988,             0.95482,             0.63676,            0.022503,            0.020284,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.020215,           0.0065515,                   0,             0.91626,                0.93,             0.96009,             0.65153,            0.022312,            0.019143,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019996,           0.0063912,                   0,             0.92617,               0.915,             0.94916,             0.63266,            0.022939,            0.020811,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.020236,           0.0063018,                   0,             0.91368,               0.955,              0.9436,             0.63544,            0.022145,            0.019518,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,             0.02021,           0.0062957,                   0,             0.92893,             0.91497,              0.9447,             0.63782,            0.021705,            0.020073,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.020272,           0.0063405,                   0,              0.9319,                0.89,             0.94139,             0.63374,            0.022658,            0.021786,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019976,           0.0064307,                   0,              0.9035,                0.94,             0.93471,             0.64937,            0.021572,            0.019641,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.019547,           0.0062603,                   0,             0.91089,             0.91997,             0.94021,             0.64311,            0.022444,            0.020617,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.020123,           0.0066774,                   0,             0.93532,              0.9399,             0.96313,             0.63961,            0.022509,            0.019457,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.019492,           0.0063095,                   0,             0.95359,               0.925,             0.96345,             0.63013,             0.02255,             0.01984,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019754,           0.0063226,                   0,             0.93921,                0.93,             0.94147,             0.62443,            0.022864,            0.021004,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.019619,           0.0063963,                   0,             0.91175,             0.92985,             0.92991,             0.61523,            0.023827,            0.021827,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019475,            0.006263,                   0,             0.92854,                0.91,             0.93109,             0.61614,            0.023811,            0.023216,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.019972,            0.006497,                   0,             0.92078,             0.92986,             0.94626,             0.63096,            0.023445,            0.022151,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019636,             0.00647,                   0,             0.93382,                0.92,             0.92908,             0.61542,            0.023855,            0.022774,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.018904,           0.0062455,                   0,             0.92459,                0.92,             0.92923,             0.61142,            0.023714,            0.021522,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.019477,           0.0060576,                   0,             0.89789,                0.93,             0.94165,             0.64142,            0.022672,            0.021138,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.019176,           0.0061776,                   0,             0.89913,               0.945,              0.9428,             0.63268,            0.023343,            0.021255,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.019252,           0.0062651,                   0,             0.94088,             0.95481,             0.94769,              0.6263,            0.023535,            0.020344,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.019201,           0.0059237,                   0,             0.94526,             0.94972,             0.96272,             0.63964,            0.023346,            0.020212,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018793,           0.0060325,                   0,             0.94974,             0.94484,             0.95283,             0.63103,            0.022913,            0.020588,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.018977,           0.0061722,                   0,             0.91866,                0.96,             0.95471,             0.63486,            0.023038,            0.020246,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.018791,           0.0062984,                   0,             0.91208,               0.935,             0.93848,             0.64236,            0.023101,            0.021582,                   0,            0.002674,            0.002674,            0.002674
                 150,             0.01864,           0.0060571,                   0,             0.90913,               0.955,             0.94391,             0.65472,            0.022067,            0.019941,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018853,           0.0060448,                   0,             0.91509,             0.96998,             0.95082,             0.63955,            0.022305,            0.019464,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.018583,           0.0061445,                   0,             0.91051,                0.97,             0.95625,              0.6459,            0.022208,             0.01969,                   0,           0.0025255,           0.0025255,           0.0025255
